,ID,Reste ÌÊ vivre mensuel,Taux d'apport,Revenus du foyer,Taux d'endettement,Prix_immobilier,Apport global,d_eligible,instruit,age,nb_enfants_charge,#NAME?,--Achat d'un appartement,--Achat d'un autre bien,--Achat d'un bien mixte (habitation et activite),--Achat d'un garage,--Achat d'un immeuble,--Achat d'un local commercial,--Achat d'un terrain avec financement de la construction,--Achat d'un terrain sans financement de la construction,--Achat d'une maison,Avec une autre personne,Avec votre concubin,Avec votre conjoint,Avec votre pacse,Avec votre parent,Dans le cadre d'une SCI,Seul(e),Accepte,Audite,Cloture,Erreur,Exclu,Exclus,Instruit,Mandate,Soumis partenaires,cancelled,eligible,pre-accorded,pre-qualified,validated,CDD,CDI,Interimaire,Non salarie,alternant apprenti,autre,interimaire,intermittent,non salarie,Artisan,Artiste,Cadre moyen,Cadre superieur,Chercher / enseignement superieur,ChÌ«meur / Sans activite,Commercial,CommerÌ¤ant,Employe,Employe de bureau,En recherche dÛªemploi,Enseignant,Entrepreneur individuel,Gerant de societe,Medecin,Militaire / Gendarme,Ouvrier,Profession liberale,Rentier,Retraite,Taxi,Technicien,Ìätudiant,Administration,Autre,Banque / Finance / Assurance,BÌ¢timent,Commerce,Enseignement/Recherche,Environnement,Fonction Publique,Gestion / Comptabilite,Immobilier,Import / Export,Industrie,Informatique,Marketing / Communication,Restauration,Sante,Securite,Services Juridiques,Services aux entreprises,Services ÌÊ la personne,Tourisme,Transport,M,Mlle,Mme,Celibataire,Divorce,Instance de divorce,Marie,PACS,Union libre,Veuf,Alsace-Champagne-Ardenne-Lorraine,Aquitaine-Limousin-Poitou-Charentes,Auvergne-RhÌ«ne-Alpes,Bourgogne-Franche-Comte,Bretagne,Centre-Val de Loire,Ile-de-France,La Reunion,Languedoc-Roussillon-Midi-Pyrenees,Nord-Pas-de-Calais-Picardie,Normandie,Pays de la Loire,Provence-Alpes-CÌ«te d'Azur
2965,52,4475.0,30.3,5899.75,24.15,330000.0,100000.0,1,0,36.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2415,54,4290.0,28.57,5832.3,26.44,350000.0,100000.0,1,1,34.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1734,55,4290.0,28.57,5832.3,26.44,350000.0,100000.0,1,1,34.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1552,57,1188.0,9.2,2557.9,53.55,250000.0,23000.0,0,0,25.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
728,60,1812.0,24.29,2404.04,24.62,70000.0,17000.0,1,0,36.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2596,64,2772.0,16.0,4049.81,31.55,250000.0,40000.0,1,0,31.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2521,69,3793.0,15.63,4801.74,30.12,160000.0,25000.0,1,0,33.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
998,70,1421.0,21.85,2142.06,33.65,119000.0,26000.0,1,0,35.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
974,71,3001.0,19.05,4456.18,32.65,210000.0,40000.0,1,0,52.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2617,76,2653.0,21.43,3999.68,33.67,280000.0,60000.0,1,0,44.0,3.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
